iata_code,country_code,city_code,region_code
AAA,PF,AAA,PACIF
AAB,AU,AAB,AUSTL
AAC,EG,AAC,AFRIC
AAE,DZ,AAE,AFRIC
AAF,US,AAF,NAMER
AAH,DE,AAH,EUROP
AAI,BR,AAI,SAMER
AAK,KI,AAK,AUSTL
AAL,DK,AAL,EUROP
AAM,ZA,AAM,AFRIC
AAN,AE,AAN,MEAST
AAO,VE,AAO,SAMER
AAP,US,HOU,NAMER
AAQ,RU,AAQ,EURAS
AAR,DK,AAR,EUROP
AAT,CN,AAT,ASIA
AAU,WS,AAU,AUSTL
AAV,PH,AAV,PACIF
AAW,PK,AAW,ASIA
AAX,BR,AAX,SAMER
AAY,YE,AAY,MEAST
AAZ,GT,AAZ,CAMER
ABA,RU,ABA,EURAS
ABB,GB,ABB,AFRIC
ABC,ES,ABC,EUROP
ABD,IR,ABD,MEAST
ABE,US,ABE,NAMER
ABF,KI,ABF,AUSTL
ABH,AU,ABH,AUSTL
ABI,US,ABI,NAMER
ABJ,CI,ABJ,AFRIC
ABK,ET,ABK,AFRIC
ABL,US,ABL,NAMER
ABM,AU,ABM,AUSTL
ABN,SR,ABN,SAMER
ABO,CI,ABO,AFRIC
ABQ,US,ABQ,NAMER
ABR,US,ABR,NAMER
ABS,EG,ABS,AFRIC
ABT,SA,ABT,MEAST
ABU,ID,ABU,SEASI
ABV,NG,ABV,AFRIC
ABX,AU,ABX,AUSTL
ABY,US,ABY,NAMER
ABZ,GB,ABZ,EUROP
ACA,MX,ACA,NAMER
ACB,US,ACB,NAMER
ACC,GH,ACC,AFRIC
ACD,CO,ACD,SAMER
ACE,ES,ACE,EUROP
ACH,CH,ACH,EUROP
ACI,GB,ACI,EUROP
ACK,US,ACK,NAMER
ACN,MX,ACN,NAMER
ACP,IR,ACP,MEAST
ACR,CO,ACR,SAMER
ACS,RU,ACS,EURAS
ACT,US,ACT,NAMER
ACV,US,ACV,NAMER
ACX,CN,ACX,ASIA
ACY,US,AIY,NAMER
ACZ,IR,ACZ,MEAST
ADA,TR,ADA,EURAS
ADB,TR,IZM,EURAS
ADD,ET,ADD,AFRIC
ADE,YE,ADE,MEAST
ADF,TR,ADF,EURAS
ADG,US,ADG,NAMER
ADH,RU,ADH,EURAS
ADI,NA,ADI,AFRIC
ADJ,JO,AMM,MEAST
ADK,US,ADK,NAMER
ADL,AU,ADL,AUSTL
ADM,US,ADM,NAMER
ADO,AU,ADO,AUSTL
ADP,LK,ADP,ASIA
ADQ,US,ADQ,NAMER
ADS,US,DFW,NAMER
ADT,US,ADT,NAMER
ADU,IR,ADU,MEAST
ADW,US,ADW,NAMER
ADX,GB,ADX,EUROP
ADY,ZA,ADY,AFRIC
ADZ,CO,ADZ,SAMER
AEA,KI,AEA,AUSTL
AEH,TD,AEH,AFRIC
AEL,US,AEL,NAMER
AEO,MR,AEO,AFRIC
AEP,AR,BUE,SAMER
AER,RU,AER,EURAS
AES,NO,AES,EUROP
AET,US,AET,NAMER
AEU,IR,AEU,MEAST
AEX,US,AEX,NAMER
AEY,IS,AEY,EUROP
AFA,AR,AFA,SAMER
AFD,ZA,AFD,AFRIC
AFF,US,COS,NAMER
AFI,CO,AFI,SAMER
AFL,BR,AFL,SAMER
AFN,US,AFN,NAMER
AFO,US,AFO,NAMER
AFS,UZ,AFS,EURAS
AFW,US,DFW,NAMER
AFY,TR,AFY,EURAS
AFZ,IR,AFZ,MEAST
AGA,MA,AGA,AFRIC
AGB,DE,MUC,EUROP
AGC,US,PIT,NAMER
AGE,DE,AGE,EUROP
AGF,FR,AGF,EUROP
AGH,SE,AGH,EUROP
AGI,SR,AGI,SAMER
AGJ,JP,AGJ,ASIA
AGM,GL,AGM,EUROP
AGN,US,AGN,NAMER
AGO,US,AGO,NAMER
AGP,ES,AGP,EUROP
AGQ,GR,AGQ,EUROP
AGR,IN,AGR,ASIA
AGS,US,AGS,NAMER
AGT,PY,AGT,SAMER
AGU,MX,AGU,NAMER
AGV,VE,AGV,SAMER
AGX,IN,AGX,ASIA
