origin,destination,airline,nbLeg
FRA,GPA,X3,26
BGR,PHL,US,1595
MXP,HAM,LH,1
DEN,IAH,F9,338
DFW,IAH,NK,630
QSF,MLH,ZI,30
EYK,VKO,UT,10
DBV,LIL,5O,3
OGG,YEG,MT,57
HND,ONJ,NH,732
EWR,CZM,UA,12
PVG,CKG,CA,1311
DEN,RNO,OO,81
JFK,LHR,AA,1795
YZF,YEG,5T,659
KPO,CJU,OZ,157
KZN,VKO,UT,118
LAX,DFW,VX,668
TLV,AMM,IZ,113
SJC,SEA,SY,2
FLN,GIG,G3,725
ADA,VAN,PC,157
BEB,BRR,BE,148
LAD,MSZ,DT,121
BOH,GVA,U2,92
ZLO,YXE,TS,11
VRA,YHZ,AC,11
KAO,HEL,BE,162
CDG,LIL,5O,3
ORV,IAN,8E,366
TPE,PNH,CI,157
LIN,CRV,CT,99
CPH,HEL,SK,93
MLA,TIP,KM,365
DXB,HKG,EK,728
KSH,NJF,EP,52
PUS,SHE,CZ,108
ACE,BRU,TB,87
VRN,SOU,BE,4
CUU,HMO,5D,361
LPL,JER,U2,155
CCU,SHL,AI,313
TRD,CPH,SK,926
CMH,DEN,WN,226
RSW,LGA,B6,244
MEX,VSA,AM,2046
FRA,JNB,LH,359
PVG,ULN,MR,26
SPU,ARN,DY,9
NKG,TYN,ZH,212
PRG,MUC,IQ,211
GAM,OME,8E,366
AZA,DFW,NK,336
HRG,BRE,X3,1
EEM,MAD,UX,680
JFK,PHX,B6,244
BRU,VCE,AP,202
LIS,ORK,EI,18
ARN,DUS,SK,482
BKK,VIE,OS,8
AUH,MED,XY,39
NAN,HIR,PX,208
RDZ,ORY,DB,922
ALC,CWL,VY,25
ADD,CAI,ET,339
CHQ,AMS,HV,8
CWL,DUB,RE,393
VTZ,BLR,9W,325
STR,KGS,X3,71
EDI,PRG,LS,86
MCO,DAY,FL,248
HLD,DLC,MU,1
IST,EZS,TK,734
OAK,LAX,OO,1454
MHT,TPA,WN,292
ORD,DSM,UA,310
YYZ,MIA,AA,1098
NSI,MVR,QC,30
